Node 0	80.37725999999999	69.66784	75.63514	86.00908000000001	93.8802	80.15008	79.23934	79.92240000000001	87.79903999999999	78.30534	85.20236	88.3522	
Node 1	77.46294	78.48079999999999	83.1319	80.3269	81.71658000000001	73.24726	93.67790000000001	70.11498	80.26894	83.87715999999999	84.07914	85.78996	
Node 2	87.59824	80.61022	88.96142	82.82688	78.55136	93.22861999999999	82.02134	99.94448	84.25618	66.11376	98.9727	73.25106	
Node 3	66.6095	85.53028	83.75924	96.50731999999999	88.17746	86.70572	98.18430000000001	90.65208	59.2958	90.49718	85.31184	83.35084	
Node 4	80.86959999999999	87.6618	99.79748000000001	87.67286	94.28284000000001	86.50132	93.71437999999999	88.27172	86.44334	87.40544	81.87248	63.84044	
Node 5	88.89966	69.66784	72.5228	71.68722	83.58276000000001	61.279039999999995	82.2704	80.00342	78.86506	76.65346	85.74544	80.92074	
Node 6	88.89966	82.92974	72.41687999999999	74.12138	86.96224000000001	85.056	84.15224	81.43958	85.99738	84.56576	79.75408	58.47052	
Node 7	71.45434	78.1203	82.41507999999999	77.34478	73.3547	94.51934	76.38332	83.83442	66.12594	76.81312	79.98656	86.32492	
Node 8	74.54084	85.11336	76.80904	90.20783999999999	82.47482000000001	73.89256	88.54686000000001	73.75435999999999	57.01544	81.74405999999999	84.66951999999999	75.71198	
Node 9	69.85552	82.2312	96.03454	93.7048	85.8445	95.68666	96.0611	79.27242	97.10343999999999	80.94834	75.65316	78.07538000000001	
Node 10	71.48904	73.6818	80.68984	75.7788	79.0239	72.09440000000001	72.17635999999999	72.81345999999999	96.83606	75.87556	62.235640000000004	72.15314000000001	
Node 11	91.28062	82.0918	80.26948	79.69659999999999	92.38458	70.75222	80.83924	97.67402	79.73407999999999	90.65026	80.65002	77.91774000000001	
Node 12	73.3156	86.93334	79.60064	73.27376	90.18056	94.06788	82.19	66.30279999999999	99.04982	85.97941999999999	78.5749	83.03018	
Node 13	77.91481999999999	98.5068	81.46368000000001	84.19192	75.7125	65.27296	77.39776	72.15036	90.48482	80.0909	80.66482	69.80499999999999	
