Contact	Overhead
500	 17.0
1000	 32.57692307692308
1500	 31.348837209302324
2000	 28.142857142857142
2500	 23.926136363636363
3000	 42.23024054982818
3500	 59.512129380053906
4000	 56.03846153846154
4500	 58.37264957264957
5000	 60.08667736757624
5500	 59.982326951399116
6000	 63.9946380697051
6500	 65.81695331695332
7000	 66.63466042154566
7500	 66.44918032786886
8000	 66.68330134357005
8500	 68.7463503649635
9000	 68.4541595925297
9500	 68.25821596244131
10000	 69.72429210134128
10500	 70.28167994207097
11000	 70.64487267721955
11500	 70.78181818181818
12000	 71.66290018832392
12500	 72.02930402930403
13000	 72.64809384164222
13500	 71.1824696802646
14000	 70.89358372456964
14500	 71.6305
15000	 72.41901066925315
15500	 72.84905660377359
16000	 73.208969024503
16500	 72.03136042402826
17000	 71.47287483981205
17500	 70.93113284433578
18000	 70.5264602116817
18500	 71.54429400386847
19000	 71.42233922527267
19500	 71.71433823529412
20000	 71.85807860262008
20500	 72.02247591865859
21000	 71.67959468902865
21500	 71.84371736860425
22000	 71.13890761968982
22500	 71.41561879549967
23000	 70.98962722852512
23500	 71.39802736239263
24000	 71.82555970149254
24500	 72.52285977293649
25000	 72.78066465256798
25500	 72.77590788308237
26000	 72.44182706118931
26500	 72.39377652050919
27000	 72.61736958934517
27500	 72.10509209100758
28000	 72.58862609619985
28500	 72.94281949934124
29000	 73.08721843897328
29500	 73.03314491264132
30000	 73.17866193613786
30500	 72.30685395979656
31000	 73.00331910858226
31500	 73.4688077634011
32000	 73.92475067996374
32500	 74.17649707339037
33000	 73.85323549032688
33500	 74.07498897220997
34000	 74.33719405594405
34500	 74.50119124972926
35000	 74.31382183294168
35500	 74.37708377294788
36000	 74.18309568092582
36500	 74.39017929910351
37000	 74.53096099718536
37500	 74.52809884416102
38000	 74.44725490196079
38500	 74.7860889838741
39000	 74.87509593246355
39500	 74.98923105989041
40000	 74.89898053753475
40500	 74.93427316001464
41000	 75.23885693745507
41500	 75.41378079257409
42000	 75.12032462949894
42500	 75.18248557944415
43000	 75.26980542043086
43500	 75.64490500863558
44000	 75.83680495782407
44500	 76.01574264202601
45000	 76.13964577656675
45500	 75.9770403888051
46000	 75.68753096614368
46500	 75.73094537127903
47000	 75.79672821509556
47500	 75.85160665267237
48000	 76.02342747111682
48500	 75.93912905276542
49000	 75.94856964201969
49500	 75.92173380303262
50000	 76.02041433539998
50500	 75.91750262015272
51000	 75.9419881305638
51500	 76.08469824406079
52000	 76.22987661574618
52500	 76.18543433752559
53000	 76.12863372093024
53500	 75.91325648414985
54000	 75.81500572737686
54500	 75.87859379447765
55000	 76.03236701379116
55500	 76.29691211401425
56000	 75.85688729874776
56500	 75.79467213114754
57000	 75.76628818599622
57500	 75.86873990306947
58000	 75.8809875218033
58500	 76.172068827531
59000	 76.28772395487724
59500	 76.32253372123776
60000	 75.99253340319623
60500	 76.06165004533092
61000	 75.87889672867223
61500	 76.01405930470348
62000	 76.26733553467108
62500	 76.10241192069705
63000	 76.2477998491325
63500	 76.09162303664921
64000	 76.16571428571429
64500	 75.74322326269098
65000	 75.36733447349133
65500	 74.97142165173166
66000	 74.70053924505692
66500	 74.65988337498513
67000	 74.57745480326126
67500	 74.47985434042053
68000	 74.5645519336371
68500	 74.43686956521739
69000	 74.31164344120695
69500	 74.05419281232173
70000	 73.86926034833748
70500	 73.55937325125909
71000	 73.40781751743992
71500	 73.41717049576783
72000	 73.20063036626453
72500	 72.86923406994207
73000	 72.63943274420573
73500	 72.5129658792651
74000	 72.20327732835511
74500	 72.21964782205747
75000	 71.84566145092461
75500	 71.43240805691953
76000	 71.28300763813114
76500	 71.07671125098348
77000	 70.70507225293376
77500	 70.36079708756466
78000	 70.21934074285171
78500	 70.01192936314109
79000	 70.02718101998879
79500	 69.84062268346923
80000	 69.63919985318407
80500	 69.40647971685272
81000	 69.59132874728458
81500	 69.49950508413569
82000	 69.31676187076044
82500	 69.12159886554994
83000	 68.86616871704746
83500	 68.75366748166259
84000	 68.56136855781723
84500	 68.3713475421107
85000	 68.37158002735978
85500	 68.27891156462584

