Time	Host	Drop	Total Drop
3600	p23		2		4
3600	c54		1		4
3600	w80		1		4
7200	p9		1		22
7200	p16		4		22
7200	p17		1		22
7200	p29		1		22
7200	p32		2		22
7200	p39		3		22
7200	c41		1		22
7200	c54		1		22
7200	c55		1		22
7200	c57		1		22
7200	c60		4		22
7200	w88		1		22
7200	w115		1		22
10800	p6		1		64
10800	p9		2		64
10800	p11		2		64
10800	p12		6		64
10800	p13		2		64
10800	p16		7		64
10800	p17		1		64
10800	p18		1		64
10800	p19		2		64
10800	p29		13		64
10800	p39		1		64
10800	c41		1		64
10800	c47		2		64
10800	c50		1		64
10800	c54		3		64
10800	c57		1		64
10800	c60		1		64
10800	c70		1		64
10800	c73		3		64
10800	c75		1		64
10800	w80		1		64
10800	w88		1		64
10800	w95		6		64
10800	w96		1		64
10800	w104		1		64
10800	w115		2		64
14400	p4		2		112
14400	p7		1		112
14400	p8		1		112
14400	p9		1		112
14400	p12		3		112
14400	p17		7		112
14400	p18		2		112
14400	p31		1		112
14400	p32		2		112
14400	p35		4		112
14400	p36		8		112
14400	p37		1		112
14400	p38		3		112
14400	p39		1		112
14400	c41		5		112
14400	c42		2		112
14400	c43		2		112
14400	c44		2		112
14400	c52		4		112
14400	c53		2		112
14400	c54		1		112
14400	c56		2		112
14400	c57		1		112
14400	c58		1		112
14400	c59		1		112
14400	c60		1		112
14400	c64		2		112
14400	c65		2		112
14400	c70		7		112
14400	c72		1		112
14400	c73		4		112
14400	c74		1		112
14400	c75		1		112
14400	w81		2		112
14400	w87		2		112
14400	w88		4		112
14400	w93		1		112
14400	w96		5		112
14400	w99		4		112
14400	w102		7		112
14400	w104		2		112
14400	w106		1		112
14400	w110		1		112
14400	w113		2		112
14400	w115		2		112
18000	p0		1		251
18000	p2		1		251
18000	p3		3		251
18000	p6		2		251
18000	p7		3		251
18000	p8		2		251
18000	p9		1		251
18000	p10		1		251
18000	p11		1		251
18000	p12		1		251
18000	p14		5		251
18000	p15		3		251
18000	p16		2		251
18000	p17		2		251
18000	p18		1		251
18000	p19		1		251
18000	p20		4		251
18000	p22		1		251
18000	p23		2		251
18000	p24		1		251
18000	p25		4		251
18000	p26		2		251
18000	p27		1		251
18000	p29		1		251
18000	p30		3		251
18000	p31		2		251
18000	p32		2		251
18000	p33		1		251
18000	p34		1		251
18000	p35		3		251
18000	p36		1		251
18000	p37		2		251
18000	p38		1		251
18000	c41		4		251
18000	c42		7		251
18000	c43		2		251
18000	c44		1		251
18000	c45		3		251
18000	c47		3		251
18000	c48		1		251
18000	c49		2		251
18000	c50		8		251
18000	c51		1		251
18000	c54		1		251
18000	c55		2		251
18000	c56		1		251
18000	c57		2		251
18000	c58		2		251
18000	c60		4		251
18000	c61		1		251
18000	c62		1		251
18000	c63		3		251
18000	c64		3		251
18000	c65		1		251
18000	c66		1		251
18000	c67		2		251
18000	c69		2		251
18000	c72		2		251
18000	c73		2		251
18000	c74		2		251
18000	c75		1		251
18000	c76		4		251
18000	c77		2		251
18000	w80		4		251
18000	w81		1		251
18000	w82		2		251
18000	w83		2		251
18000	w86		2		251
18000	w87		8		251
18000	w88		1		251
18000	w89		1		251
18000	w91		3		251
18000	w92		1		251
18000	w93		1		251
18000	w94		1		251
18000	w95		1		251
18000	w97		2		251
18000	w98		3		251
18000	w99		4		251
18000	w101		2		251
18000	w102		1		251
18000	w103		1		251
18000	w106		8		251
18000	w107		1		251
18000	w108		2		251
18000	w110		5		251
18000	w111		6		251
18000	w112		2		251
18000	w113		7		251
18000	w114		1		251
18000	w115		11		251
18000	w116		4		251
18000	w117		2		251
18000	t120		5		251
18000	t121		5		251
18000	t122		5		251
18000	t123		5		251
18000	t124		4		251
18000	t125		4		251
21600	p0		4		246
21600	p1		2		246
21600	p4		2		246
21600	p5		2		246
21600	p6		1		246
21600	p8		3		246
21600	p9		2		246
21600	p10		4		246
21600	p11		1		246
21600	p12		4		246
21600	p13		9		246
21600	p14		1		246
21600	p15		1		246
21600	p16		1		246
21600	p17		2		246
21600	p18		1		246
21600	p19		2		246
21600	p20		1		246
21600	p23		3		246
21600	p25		3		246
21600	p27		4		246
21600	p28		1		246
21600	p29		1		246
21600	p31		1		246
21600	p35		3		246
21600	p36		2		246
21600	p37		3		246
21600	p38		1		246
21600	p39		2		246
21600	c41		6		246
21600	c42		1		246
21600	c44		1		246
21600	c45		2		246
21600	c47		3		246
21600	c49		2		246
21600	c50		3		246
21600	c51		1		246
21600	c53		1		246
21600	c55		1		246
21600	c56		2		246
21600	c57		1		246
21600	c58		2		246
21600	c59		3		246
21600	c60		1		246
21600	c62		1		246
21600	c63		2		246
21600	c65		2		246
21600	c66		2		246
21600	c67		1		246
21600	c69		2		246
21600	c70		2		246
21600	c71		1		246
21600	c72		2		246
21600	c73		2		246
21600	c74		1		246
21600	c75		4		246
21600	c77		2		246
21600	w80		1		246
21600	w81		3		246
21600	w82		2		246
21600	w84		3		246
21600	w85		3		246
21600	w86		2		246
21600	w87		1		246
21600	w90		1		246
21600	w91		1		246
21600	w92		1		246
21600	w93		1		246
21600	w94		1		246
21600	w95		2		246
21600	w96		2		246
21600	w97		1		246
21600	w98		1		246
21600	w99		2		246
21600	w101		1		246
21600	w102		1		246
21600	w105		4		246
21600	w106		1		246
21600	w108		1		246
21600	w109		2		246
21600	w110		2		246
21600	w111		3		246
21600	w112		2		246
21600	w113		7		246
21600	w114		1		246
21600	w115		8		246
21600	w116		2		246
21600	w117		1		246
21600	w118		2		246
21600	t120		10		246
21600	t121		10		246
21600	t122		10		246
21600	t123		10		246
21600	t124		9		246
21600	t125		10		246
25200	p0		2		237
25200	p2		3		237
25200	p4		3		237
25200	p6		2		237
25200	p9		5		237
25200	p10		1		237
25200	p11		2		237
25200	p12		1		237
25200	p14		4		237
25200	p15		1		237
25200	p16		4		237
25200	p17		1		237
25200	p18		4		237
25200	p20		1		237
25200	p21		2		237
25200	p24		3		237
25200	p27		1		237
25200	p29		4		237
25200	p30		3		237
25200	p31		2		237
25200	p32		2		237
25200	p34		1		237
25200	p36		1		237
25200	p37		1		237
25200	p39		2		237
25200	c42		4		237
25200	c43		2		237
25200	c44		1		237
25200	c45		3		237
25200	c47		1		237
25200	c48		3		237
25200	c49		1		237
25200	c50		1		237
25200	c51		1		237
25200	c52		1		237
25200	c53		1		237
25200	c54		1		237
25200	c55		3		237
25200	c56		1		237
25200	c58		1		237
25200	c62		1		237
25200	c63		1		237
25200	c64		2		237
25200	c67		2		237
25200	c68		1		237
25200	c70		1		237
25200	c71		1		237
25200	c72		1		237
25200	c73		1		237
25200	c74		1		237
25200	c76		1		237
25200	c77		1		237
25200	c79		2		237
25200	w80		1		237
25200	w81		2		237
25200	w82		4		237
25200	w84		1		237
25200	w85		1		237
25200	w86		1		237
25200	w87		1		237
25200	w88		1		237
25200	w89		1		237
25200	w90		1		237
25200	w91		1		237
25200	w93		3		237
25200	w94		1		237
25200	w95		1		237
25200	w96		1		237
25200	w97		4		237
25200	w98		1		237
25200	w99		4		237
25200	w100		3		237
25200	w101		8		237
25200	w102		4		237
25200	w103		2		237
25200	w104		2		237
25200	w105		2		237
25200	w106		2		237
25200	w107		12		237
25200	w108		1		237
25200	w109		1		237
25200	w110		1		237
25200	w111		1		237
25200	w113		3		237
25200	w114		2		237
25200	w115		7		237
25200	w116		1		237
25200	w117		1		237
25200	w118		2		237
25200	w119		1		237
25200	t120		9		237
25200	t121		9		237
25200	t122		9		237
25200	t123		9		237
25200	t124		9		237
25200	t125		9		237
28800	p0		1		216
28800	p2		3		216
28800	p3		1		216
28800	p4		1		216
28800	p6		1		216
28800	p7		2		216
28800	p8		1		216
28800	p9		3		216
28800	p10		1		216
28800	p12		2		216
28800	p13		1		216
28800	p14		3		216
28800	p15		2		216
28800	p16		1		216
28800	p17		1		216
28800	p19		8		216
28800	p20		1		216
28800	p22		1		216
28800	p23		1		216
28800	p24		2		216
28800	p25		2		216
28800	p29		2		216
28800	p32		2		216
28800	p33		3		216
28800	p34		2		216
28800	p35		1		216
28800	p38		3		216
28800	p39		2		216
28800	c40		2		216
28800	c41		1		216
28800	c42		1		216
28800	c43		2		216
28800	c44		1		216
28800	c45		2		216
28800	c46		1		216
28800	c47		3		216
28800	c48		14		216
28800	c49		9		216
28800	c50		1		216
28800	c51		2		216
28800	c52		2		216
28800	c53		2		216
28800	c54		3		216
28800	c55		2		216
28800	c56		1		216
28800	c57		1		216
28800	c58		1		216
28800	c59		1		216
28800	c60		1		216
28800	c61		5		216
28800	c62		2		216
28800	c64		3		216
28800	c65		1		216
28800	c67		3		216
28800	c68		1		216
28800	c69		2		216
28800	c70		2		216
28800	c72		1		216
28800	c73		1		216
28800	c75		2		216
28800	c77		2		216
28800	c79		1		216
28800	w80		1		216
28800	w82		3		216
28800	w83		1		216
28800	w87		2		216
28800	w88		7		216
28800	w90		1		216
28800	w91		2		216
28800	w92		5		216
28800	w94		1		216
28800	w95		1		216
28800	w96		1		216
28800	w98		2		216
28800	w102		2		216
28800	w103		1		216
28800	w104		2		216
28800	w105		3		216
28800	w106		1		216
28800	w107		1		216
28800	w108		1		216
28800	w109		1		216
28800	w111		1		216
28800	w112		1		216
28800	w115		2		216
28800	w116		1		216
28800	w117		1		216
28800	w118		1		216
28800	w119		1		216
28800	t120		6		216
28800	t121		6		216
28800	t122		6		216
28800	t123		6		216
28800	t124		6		216
28800	t125		6		216
32400	p0		3		199
32400	p1		3		199
32400	p2		1		199
32400	p3		1		199
32400	p4		3		199
32400	p8		6		199
32400	p10		2		199
32400	p11		1		199
32400	p12		3		199
32400	p13		1		199
32400	p15		1		199
32400	p16		1		199
32400	p17		1		199
32400	p19		1		199
32400	p21		3		199
32400	p22		1		199
32400	p24		7		199
32400	p25		5		199
32400	p26		2		199
32400	p28		1		199
32400	p30		4		199
32400	p31		1		199
32400	p32		2		199
32400	p33		1		199
32400	p34		2		199
32400	p35		1		199
32400	p36		1		199
32400	p38		2		199
32400	p39		2		199
32400	c41		1		199
32400	c42		1		199
32400	c43		1		199
32400	c44		2		199
32400	c45		2		199
32400	c46		2		199
32400	c47		1		199
32400	c49		2		199
32400	c51		2		199
32400	c52		3		199
32400	c53		2		199
32400	c54		1		199
32400	c55		1		199
32400	c56		1		199
32400	c57		1		199
32400	c58		4		199
32400	c59		1		199
32400	c60		4		199
32400	c61		3		199
32400	c63		1		199
32400	c64		2		199
32400	c65		3		199
32400	c67		6		199
32400	c70		2		199
32400	c71		1		199
32400	c73		1		199
32400	c74		2		199
32400	c75		1		199
32400	c76		5		199
32400	c77		1		199
32400	c78		1		199
32400	c79		1		199
32400	w81		1		199
32400	w82		1		199
32400	w84		2		199
32400	w85		1		199
32400	w86		1		199
32400	w87		1		199
32400	w88		2		199
32400	w91		7		199
32400	w92		2		199
32400	w93		1		199
32400	w94		1		199
32400	w96		2		199
32400	w99		1		199
32400	w100		2		199
32400	w101		1		199
32400	w102		2		199
32400	w103		1		199
32400	w104		3		199
32400	w106		1		199
32400	w107		2		199
32400	w108		1		199
32400	w109		2		199
32400	w110		1		199
32400	w111		1		199
32400	w113		4		199
32400	w114		2		199
32400	w115		1		199
32400	w117		2		199
32400	w119		1		199
32400	t120		4		199
32400	t121		4		199
32400	t122		4		199
32400	t123		4		199
32400	t124		4		199
32400	t125		4		199
36000	p2		2		251
36000	p3		4		251
36000	p4		1		251
36000	p7		3		251
36000	p9		2		251
36000	p10		4		251
36000	p11		1		251
36000	p13		1		251
36000	p14		12		251
36000	p15		3		251
36000	p16		1		251
36000	p17		1		251
36000	p18		1		251
36000	p20		2		251
36000	p23		1		251
36000	p24		1		251
36000	p25		1		251
36000	p28		2		251
36000	p29		1		251
36000	p31		2		251
36000	p34		5		251
36000	p35		2		251
36000	p36		1		251
36000	p37		1		251
36000	c40		3		251
36000	c41		4		251
36000	c42		5		251
36000	c44		1		251
36000	c45		3		251
36000	c46		1		251
36000	c47		1		251
36000	c48		1		251
